ランク,所属コード,上位ランク,0,部門名称,開始世代,終了世代,コード1,コード2,コード3,コード4,コード5,コード6,コード7,コード8,コード9,名称1,名称2,名称3,名称4,名称5,名称6,名称7,名称8,名称9,所属名称,略称,備考,給与専用,所属コード,総表示順位
2,10000000,1,00000001,コーポレートプランニング本部,64,9999,2,290,0,0,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,,,,,,,,株式会社  大広 コーポレートプランニング本部,コーポレートプランニング本部,,0,10000000,24
3,10020000,2,10000000,経営企画局,64,9999,2,290,670,0,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,経営企画局,,,,,,,株式会社  大広 コーポレートプランニング本部 経営企画局,コーポレートプランニング本部経営企画局,,0,10020000,25
4,10021000,3,10020000,経営企画チーム,64,9999,2,290,670,3182,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,経営企画局,経営企画チーム,,,,,,株式会社  大広 コーポレートプランニング本部 経営企画局 経営企画チーム,コーポレートＰ本部経営企画局経営企画チーム,,0,10021000,26
4,10022000,3,10020000,付（出向休職）,64,9999,2,290,670,3183,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,経営企画局,付（出向休職）,,,,,,株式会社  大広 コーポレートプランニング本部 経営企画局 付（出向休職）,コーポレートＰ本部経営企画局付（出向休職）,,0,10022000,27
5,10022001,4,10022000,（博報堂ＤＹホールディングス）,64,9999,2,290,670,3183,826,0,0,0,0,株式会社  大広,コーポレートプランニング本部,経営企画局,付（出向休職）,（博報堂ＤＹホールディングス）,,,,,株式会社  大広 コーポレートプランニング本部 経営企画局 付（出向休職） （博報堂ＤＹホールディングス）,コーポレートＰ本部経営企画局付（出向休職）（ＨＣ）,,0,10022001,28
3,10040000,2,10000000,人事局,64,9999,2,290,671,0,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,,,,,,,株式会社  大広 コーポレートプランニング本部 人事局,コーポレートプランニング本部人事局,,0,10040000,29
4,10041000,3,10040000,人事企画チーム,64,9999,2,290,671,3184,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,人事企画チーム,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 人事企画チーム,コーポレートプランニング本部人事局人事企画チーム,,0,10041000,30
5,10041001,4,10041000,（医師）,64,9999,2,290,671,3184,827,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,人事企画チーム,（医師）,,,,,株式会社  大広 コーポレートプランニング本部 人事局 人事企画チーム （医師）,コーポレートＰ本部人事局人事企画チーム（医師）,,0,10041001,31
4,10042000,3,10040000,採用マネジメントチーム,64,9999,2,290,671,3185,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,採用マネジメントチーム,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 採用マネジメントチーム,コーポレートＰ本部人事局採用マネジメントチーム,,0,10042000,32
4,10042500,3,10040000,大阪人事チーム,64,9999,2,290,671,3186,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,大阪人事チーム,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 大阪人事チーム,コーポレートプランニング本部人事局大阪人事チーム,,0,10042500,33
5,10042501,4,10042500,（医師）,64,9999,2,290,671,3186,828,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,大阪人事チーム,（医師）,,,,,株式会社  大広 コーポレートプランニング本部 人事局 大阪人事チーム （医師）,コーポレートＰ本部人事局大阪人事チーム（医師）,,0,10042501,34
4,10040002,3,10040000,付（大広健康保険組合出向）,64,9999,2,290,671,3187,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,付（大広健康保険組合出向）,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 付（大広健康保険組合出向）,コーポレートＰ本部人事局付（大広健康保険組合出向）,,0,10040002,35
4,10040003,3,10040000,付（大広企業年金基金出向）,64,9999,2,290,671,3188,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,付（大広企業年金基金出向）,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 付（大広企業年金基金出向）,コーポレートＰ本部人事局付（大広企業年金基金出向）,,0,10040003,36
4,10040004,3,10040000,付（博報堂ＤＹトータルサポート出向）,64,9999,2,290,671,3189,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,付（博報堂ＤＹトータルサポート出向）,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 付（博報堂ＤＹトータルサポート出向）,コーポレートＰ本部人事局付（博報堂ＤＹｔｓ出向）,,0,10040004,37
